﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Symbol,Name,Qty,Price,Day Gain/Loss,Day Gain/Loss %,Market Value £,Market Value,Book Cost,Gain/Loss,Gain/Loss %,Average Price
ABDN,abrdn,441,145.10p,£-18.96,-2.88%,£639.89,£639.89,£811.52,£-171.63,-21.15%,184.02p
ABF,Associated British Foods,95,"2,490.00p",£7.60,0.32%,"£2,365.50","£2,365.50","£1,703.76",£661.74,38.84%,"1,793.43p"
AURA,Aura Energy Ltd,1922,6.50p,£0.38,0.30%,£124.93,£124.93,£199.92,£-74.99,-37.51%,10.40p
BAB,Babcock International Group,155,507.50p,£-6.20,-0.78%,£786.63,£786.63,£801.93,£-15.30,-1.91%,517.37p
BA.,BAE Systems,1001,"1,316.00p",£-85.09,-0.64%,"£13,173.16","£13,173.16","£9,537.75","£3,635.41",38.12%,952.82p
BARC,Barclays,274,224.05p,£-8.49,-1.36%,£613.90,£613.90,£599.57,£14.33,2.39%,218.82p
BP.,BP,430,419.15p,£-47.18,-2.55%,"£1,802.35","£1,802.35","£2,084.46",£-282.11,-13.53%,484.76p
CNA,Centrica,2315,126.25p,£-47.46,-1.60%,"£2,922.69","£2,922.69","£2,759.21",£163.48,5.92%,119.19p
CDL,Cloudbreak Discovery,8607,0.25p,£-3.36,-13.00%,£21.52,£21.52,£596.20,£-574.68,-96.39%,6.93p
n/a,CONSOLIDATED GWTH ORD NPV,67933,£0.00,n/a,n/a,£0.00,£0.00,£0.01,£-0.01,-100.00%,£0.00
CUSN,Cornish Metals Inc,4648,6.80p,£0.00,0.00%,£316.06,£316.06,£599.91,£-283.85,-47.32%,12.91p
CREO,Creo Medical Group,1227,29.00p,£5.34,1.48%,£355.83,£355.83,£399.86,£-44.03,-11.01%,32.59p
DGE,Diageo,33,"2,445.00p",£-9.41,-1.15%,£806.85,£806.85,£992.39,£-185.54,-18.70%,"3,007.24p"
DLG,Direct Line Insurance Group,259,191.40p,£0.52,0.10%,£495.73,£495.73,£501.25,£-5.52,-1.10%,193.53p
SMDS,DS Smith,1055,472.60p,£6.33,0.13%,"£4,985.93","£4,985.93","£3,439.94","£1,545.99",44.94%,326.06p
EZJ,easyJet,715,479.00p,£31.46,0.93%,"£3,424.85","£3,424.85","£3,711.69",£-286.84,-7.73%,519.12p
EDEN,Eden Research,15449,4.00p,£-23.17,-3.45%,£617.96,£617.96,£799.96,£-182.00,-22.75%,5.18p
GENF,Genflow Biosciences,10529,2.10p,£15.16,6.40%,£221.11,£221.11,£200.00,£21.11,10.56%,1.90p
UKW,Greencoat UK Wind,348,141.20p,£-0.35,-0.07%,£491.38,£491.38,£500.55,£-9.17,-1.83%,143.84p
